家人,43
老妈,5
天天,1
念,1
寿司,67
外面,20
店铺,3
来过,18
52,1
土豆,20
鱼饼,2
里,18
半个,6
配料,2
小贵,16
机会,73
第三次,18
小伙伴,12
十足,7
没法,3
人开,1
一种,10
和谐,2
不像,5
吵,14
坏境,1
熟,4
很辣,18
💛,1
双拼,1
瘦子,1
不到,16
不太,28
矿泉水,1
全是,12
吃个,2
新鲜,567
小吃,128
正好,8
挤,14
人不多,14
冲着,5
是因为,9
二人,5
餐,7
饭量,3
觉,2
欠,6
男生,5
真有,1
搞,10
发辣,1
包,6
馅,1
两块,1
双人,2
位置,278
好找,180
依旧,7
ok,2
力,9
关键,30
大融城,1
情侣,6
约会,3
希望,123
上次,27
香蕉,2
排,16
high,2
不软,1
蛮嫩,1
黑,28
酱油,3
充足,6
纯辣,1
烤鸡,9
用餐,27
点赞,12
😊,42
噢,16
你家,8
T,2
伤心,1
跑,7
麻烦,6
周到,62
狠足,1
酌情,1
量理,1
母亲节,1
妈妈,15
稍,7
还会来,40
90,3
微辣,18
甜酱,1
烟味,1
星天,2
缺点,6
另一家,2
健康,6
饮食,1
无水,2
油腻,10
新,17
试试,35
点水,1
菜色,13
中规中矩,6
要说,4
年轻,3
扎,3
马尾,1
穿,10
黑色,2
长袖,1
恶心,1
掀,1
桌子,19
问,24
吃不来,1
妈来,1
嘴里,3
焦麻,1
笑,4
死,1
没什么,36
云,4
代沟,1
凸现,1
木有,4
˘,2
ω,4
正题,1
偏贵,9
慢,28
各顾,1
金港,2
国际,1
辣不香,1
亲们,4
不用,46
特,11
大爱,11
锅到,1
习惯,14
酱太辣,1
装修,40
不怎么样,14
算,61
解放碑,13
紫菜,3
包饭,3
油,13
想吐槽,1
煎,25
饺,5
八块钱,2
陷,1
区别,4
正中,1
女朋有,1
带来,1
好辣,2
早该,1
少放点,1
聚会,52
飞,2
飞蛾,3
喊,9
勺子,3
倒掉,1
一句,3
抱歉,5
图中,1
小黑点,1
辛辣,1
多辣,1
少辣要,1
提前,38
说话,5
主动,16
少油,1
看中,2
过辣,1
第一餐,5
重庆火锅,23
却是,2
食欲,8
拉丝,1
不辣,20
烫,18
烧糊,1
😣,1
要绒,1
关,3
火,3
🔥,2
没熟,2
😰,1
换,51
那层楼,1
光线,2
滴,12
柴,2
实话,1
量足,5
周末,21
人多,48
越来越少,10
...#,1
##,166
自已,1
安逸,25
欧巴,1
圣诞节,2
女朋友,8
商场,3
九点钟,1
商店,1
八点,3
多去,1
没想到,6
礼物,2
到位,18
要点,4
我图,1
两人,7
饿,5
单人,1
实质,1
刺激,2
喝水,3
难,6
找,80
六楼,1
广场,25
走,40
错,11
转,6
一大,8
圈,2
祝,10
愉快,14
楼,1
一出,1
电梯,4
看得见,1
不太高,1
闲,1
最先,2
开业,7
46,2
最多值,1
十块钱,2
搭配,14
68,2
涨,9
几块钱,2
点儿,7
惯,2
挺辣,1
试,4
加石锅,1
拌,16
饭,33
太挤,2
干,6
晾着,1
划算,139
越,46
拉,7
本来,30
听,9
等位,8
辣得,4
蒙逼,1
思考,2
水是,1
干嘛,3
选择,71
放弃,2
🌚,1
鸡翅,10
人超,3
物美价廉,18
配,9
剩下,8
减,5
酱料,7
省事,5
人餐,43
完后,6
唯一,41
饱满,1
😋,7
价钱,11
尝鲜,2
